product_name,description_1,description_2,download_link,Categories,Brands,URL
Koganei Jig cylinder C series,,,https://official.en.koganei.co.jp/downloader/catalog/CDA/2,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/koganei-jig-cylinder-c-series-2/
Free Mount Cylinder CU/CDU,"・Space-saving cylinder that enables the direct mounting of cylinderson multiple sides・With auto switch (CDU series: CDU, CDUW, CDUK, CDUKW, CDU-A,ZCDUK) Specification  Order Code  Model List Model list",,https://ca01.smcworld.com/catalog/en/actuator/CU-CDU-E/6-2-1-p0619-0685-cu_en/index.html#target/page_no=1,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/free-mount-cylinder-cu-cdu/
Compact cylinder CKD SSD2 series compact cylinder,"The CKD SSD2 compact cylinder is part of a space-saving series designed by CKD Corporation. It’s a versatile, double-acting pneumatic cylinder suitable for a wide range of applications, from general industrial environments to specialized uses. Here’s a quick rundown based on what’s known about it: Design: It’s a super-compact cylinder with a square body, offering a shorter overall length compared to traditional models. This makes it ideal for equipment where space is at a premium. Features:Cylinder switch grooves on four surfaces (except for bore sizes φ12 and φ16), allowing a switch to be mounted on the same side as the piping port for better visibility and maintenance.Rod end options include a standard female thread or an optional male thread.Compatible with CKD’s T-type switches across all bore sizes, which helps streamline inventory. Cylinder switch grooves on four surfaces (except for bore sizes φ12 and φ16), allowing a switch to be mounted on the same side as the piping port for better visibility and maintenance. Rod end options include a standard female thread or an optional male thread. Compatible with CKD’s T-type switches across all bore sizes, which helps streamline inventory. Stroke Lengths: Offers a wide range of stroke lengths and switch mounting options, customizable to specific needs. Applications: Works in everything from clean rooms to dusty or welding environments, with variations like heat-resistant or high-durability models (e.g., SSD2-HP1 for long life or SSD2-G-HP1 for harsh, dusty conditions). Bore Sizes: Available in multiple sizes (e.g., φ20 to φ100+), with specifics like the SSD2-L-63D-15 model having a 63mm bore and 15mm stroke. Specification  Order Code  Model List SSD-L-50-25-T0H-D",,,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/ckd-ssd2-compact-cylinder-2/
Koganei CDA Jig Cylinder,"This is our original compact block cylinder series that continues to be a reliable option for many OEM customers with 15 model variations. The Selection Guide provides a summary of the 650 different CDA Series Jig Cylinder variations available in Basic Models, Low Friction Models and Stroke Adjustable Models. The extensive CDA Series Jig Cylinders offer: Bore Sizes from 6mm to 100mm Rod Thread Option Male & Female Integrated End of Stroke Lock Non-ion Versions Available Utilizes Standard Integrated 4mm Sensor Groove RoHS Compliance Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/CDA_ALL/1,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/cda-series-jig-cylinders/
CKD SCA2 Medium bore size air cylinder,"Medium bore size standard cylinders (ø40 to ø100) with the end covers fixed with tie rod on both sides. Wide range of choices. The most reliable series in the standard cylinders Easy to modify to the type with switchThe cylinder is equipped with a magnet as standard, allowing modification to the type with switch by simply mounting the desired sensor switch.Simple replacement of the mounting bracket The adapter compatible with different mounting brackets enables easy replacement and helps efficient inventory management.Lighter weight and higher corrosion resistanceAluminum main parts including both end covers, piston and tube have enabled the lighter body with higher corrosion resistance and shock resistance. Specification  Order Code ",,/wp-content/uploads/2023/11/SCA2-Series-Catalog3MB.pdf,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/ckd-sca2-air-cylinder/
Metalwork RNDC Stainless steel round cylinders,Specification Specification ,,,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/metalwork-rndc-stainless-steel-round-cylinders-2/
"Festo DSNU Round cylinder, double-acting",Wide range of variants for customised applications Good running performance and long service life Self-adjusting pneumatic end-position cushioning saves time during commissioning and adapts optimally to load and speed changes Piston rod with female or male thread For position sensing,,https://www.festo.com/media/pim/155/D15000100122155.PDF,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/festo-dsnu-round-cylinder-2/
CKD SCPS・SCPD3・SCPS3・SCPH3 Pencil shaped cylinder,"The lightest miniature series with the smallest bore size (φ6 to φ16) among general purpose cylinders. Space saving with compact standard switch ”T Series”. Compatible with the discontinued conventional product SCP*2 Series. [Compact design]Miniature bore size φ6, φ10, φ16.Total length is also short in pursuit of compactness. [Compact cylinder switch keeps it even smaller]Height is reduced by half with compact cylinder switch ”T Series”. Specification Specification and Order code",,https://www.ckd.co.jp/kiki/en/file/16915,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/ckd-scps-scpd3-scps3-scph3/
SMC CM2/CDM2 series Air Cylinder,"・Female rod end is available as standard.・Easy fine adjustment of auto switch position・Single clevis and trunnion pivot brackets are available.・Part numbers with a rod end bracket and/or pivot bracket are available.(It is not necessary to order a bracket for the applicable cylinder separately.)・With auto switch (CDM2-Z series: CDM2, CDM2W, CDM2K, CDM2KW,CDM2R, CDM2RK, CDM2□P, CDBM2) Specification Model List CDM2B32-250AZ",,https://ca01.smcworld.com/catalog/en/actuator/CM2-CDM2-Z-E/6-2-1-p0167-0267-cm2_en/data/6-2-1-p0167-0267-cm2_en.pdf,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/smc-cm2-cdm2-series-cylinder/
SMC CJ2/CDJ2 series Air cylinder,"・Double foot and head flange have been added to the available mounting types.・Easy fine adjustment of auto switch position・The auto switch mounting type, band, or rail can be selected with the model number.・Part numbers with a rod end bracket and/or pivot bracket are available.(It is not necessary to order a bracket for the applicable cylinder separately.)・With auto switch (CDJ2-Z series: CDJ2, CDJ2W, CDJ2K, CDJ2Z, CDJ2ZW, CDJ2RA, CDJ2RK)",,https://ca01.smcworld.com/catalog/en/actuator/CJ2-CDJ2-Z-E/6-2-1-p0041-0152-cj2_en/data/6-2-1-p0041-0152-cj2_en.pdf,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/smc-cj2-cdj2-series/
SMC CJP Pin Cylinder,"Single acting, spring return, pin cylinder Compact design-minimizes mounting space Three bore sizes available Strokes from 5mm to 15mm available Two mounting styles available",,https://content2.smcetech.com/pdf/cjp.pdf,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/smc-cjp-pin-cylinder/
Koganei DA series Slim cylinders,"Koganei DA series Slim cylinders The stainless-steel tubing linear round body cylinder series provides OEM customers an extensive lineup of options to meet almost anyapplication.Improve the performance and reduce the size of your next generation machine. Koganei sets the standard for supplying innovative high-qualitysolutions with unmatched reliability. Optimized designs, with a wide variety of styles and sizes, increase speed to market as well as providesolutions for most applications. Expedite deliveries with product stocked in the USA.KOGANEI is committed to your success from concept, to initial design, to final delivery and beyond. Specification ",,https://official.en.koganei.co.jp/downloader/catalog/DA/1,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/koganei-da-series-slim-cylinders/
Koganei PBDAS series Pen cylinders,"The PBDAS series includes the smallest diameter linear round body cylinders in the world (with bore sizes as small as 2.5mm), which allow machine and tool designers to miniaturize devices, machines, and automated processes. The Selection Guide provides a summary of the 45 different Pen Cylinder model variations available. PBDA Series Pen Cylinders offer: Bore Sizes from 2.5mm to 16mm High Temperature Operation Integrated Speed Control Option Stroke Adjustment Option Stainless Steel Tubes RoHS Compliance Operations Specification  Model List Double acting type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Complies with all model non-ion standards. Compact, light weight, and more durable. Used in manufacturing lines in a wide range of industries. Single acting push out type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Complies with all model non-ion standards. Single acting type with integrated return spring. Single acting pull● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Complies with all model non-ion standards. Single acting type with integrated return spring. Non-rotating double acting type● Φ10 to 16 mm [0.394 to 0.630 in] cylinder bore size. Compatible with all model non-ion standards. Hexagon type non-rotating piston rod. Single acting non-rotating push out type● Φ10 to 16 mm [0.394 to 0.630 in] cylinder bore size. Compatible with all model non-ion standards. Single acting type with hexagon type non-rotating piston rod, and integrated return spring. Single acting non-rotating pull type● Φ10 to 16 mm [0.394 to 0.630 in] cylinder bore size. Compatible with all model non-ion standards. Single acting type with hexagon type non-rotating piston rod, and integrated return spring. Double acting double rod type● Φ10 to 16 mm [0.394 to 0.630 in] cylinder bore size. Compatible with all model non-ion standards. Cylinder with piston rods on both ends of the piston. Double acting push stroke adjustment type● Φ10 to 16 mm [0.394 to 0.630 in] cylinder bore size. Compatible with all model non-ion standards. Cylinder with stroke limiting stopper. Double acting pull stroke adjustment type● Φ10 to 16 mm [0.394 to 0.630 in] cylinder bore size. Compatible with all model non-ion standards. Cylinder with stroke limiting stopper. Double acting type heat resistant type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Fluorine packing enables operating temperatures up to 150 degrees. However, a sensor switch cannot be equipped. Low hydraulic pressure: Double acting type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Pneumatic-hydraulic converter can be used for simple low-speed operation control of a cylinder operated by low hydraulic pressure.",,https://official.en.koganei.co.jp/downloader/catalog/PBDA/1,Round cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/round-cylinder/pen-cylinders-pbda-series-2/
Festo DFM metric series Guided drive,Drive and guide unit in a single housing High resistance to torques and lateral forces Plain or recirculating ball bearing guide Wide variety of mounting and attachment options Wide range of variants for customised applications Variants recommended for production systems for manufacturing lithium-ion batteries,,https://www.festo.com/media/pim/979/D15000100121979.PDF,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/festo-dfm-metric-series-guided-drive/
CKD STG series Guided cylinder,"Lighter weight / resource saving. In addition, the guide rod bearing section is improved and the metal bearing material and bearing structure are modified. This improves the lateral load proof characteristics, realizing stable operation. Specification  Order Code ",,https://www.ckd.co.jp/kiki/en/file/4668,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/ckd-stg-series-guided-cylinder-2/
Koganei MGT series Mini Guide Table,"Integration of compact, high-precision, high rigidity table, guide, and cylinder. Uses a 4-point contact linear guide. Metal stopper equipped as standard, shock absorber also equipped. Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/MGT_ALL/1,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/koganei-mgt-series-mini-guide-table-2/
SMC MXQ series Air Slide Table,・Height: 10% reduction (27 mm: Current model 30 mm)・Product weight: 22% reduction (298 g: Current model 380 g)・Allowable kinetic energy: 64% improvement(0.09 J: Current model 0.055 J) Specification   Order Code  Model List MXQ16-125AS MXQ8L-10CS ,,https://content2.smcetech.com/pdf/MXQ.pdf,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/smc-mxq-series-air-slide-table/
SMC MXH series Compact Slide,・Allowable moment improved by up to 240%・With new high rigidity linear guideAllowable moment improved・The weight has been reduced by incorporatinga new high rigidity linear guide and piston.Weight: 19% reduction (ø20-10 stroke)・Piping is possible in 3 directions. Specification  Order Code  Model List MXH model,,https://content2.smcetech.com/pdf/MXH-B_EU.pdf,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/smc-mxh-series-compact-slide/
Koganei MGA series Mini guide sliders cylinder,"The Stainless Steel tabletop of each unit is heat treated and ground for a precision finish. A 4-point contact linear guide is integrated directlyinto the body. A locating dowel pin hole provides quick installation.Improve the performance and reduce the size of your next generation machine. Koganei sets the standard for supplying innovative high-qualitysolutions with unmatched reliability. Optimized designs, with a wide variety of styles and sizes, increase speed to market as well as providesolutions for most applications. Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/MGA/1,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/koganei-mga-series-mini-guide-sliders-cylinder/
Koganei SGDA series Jig Cylinder with Guides,"These compact cylinders with dual heavy-duty guides can be used in a variety of applications where side-loading is a concern. Multiplemounting arrangements and piping directions simplify installation.Improve the performance and reduce the size of your next generation machine. Koganei sets the standard for supplying innovative high-qualitysolutions with unmatched reliability. Optimized designs, with a wide variety of styles and sizes, increase speed to market as well as providesolutions for most applications. Expedite deliveries with product stocked in the USA.KOGANEI is committed to your success from concept, to initial design, to final delivery and beyond. Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/SGDA/2,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/koganei-sgda-series-2/
SMC MGPK Compact Guide Cylinder,Specification      Order Code Vui lòng xem hướng dẫn model code như bên dưới Model code,https://www.smcworld.com/upfiles/series/6008/img1-MGPK.jpg,http://ca01.smcworld.com/catalog/New-products-en/mpv/es20-270-MGPK/data/es20-270-MGPK.pdf,Guide cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/guide-cylinder/compact-guide-cylinder-mgpk-2/
Parker Taiyo RL2 Series Rodless cylinder,"Space-saving non-lubrication type magnetic rod-less cylinders Large holding force Requiring about half the installation space of conventional cylinder Separable type convenient for maintenance Installation in any of vertical and horizontal directions Guided cylinders come in two types of guide structure, general purpose and high-accuracy types. No lubrication (Cylinders with stroke of 1,000 mm or more must be lubricated. Specification  Order Code ",,,Rodless cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/rodless-cylinder/parker-taiyo-rl2-series-rodless-cylinder-2/
Koganei ORK Rodless cylinder,"Koganei ORK Rodless cylinder, Slit type with cam follower guide(Koganei ORK is a series of rodless cylinders that use a slit type mechanism with a cam follower guide) Φ16 to 50 mm [0.630 to 1.969 in] cylinder bore. Smooth operation of the rolling bearing of the cam follower guide. Wide rail maintains high accuracy over the long term. Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/ORK_ALL/1,Rodless cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/rodless-cylinder/koganei-ork-rodless-cylinder/
Koganei ORCA Rodless cylinder Slit type,Koganei ORCA Rodless cylinder Slit type Φ16 to 50 mm [0.630 to 1.969 in] cylinder bore. Slit type that requires half the mounting space and dramatically limits overall length and height. One-side surface piping support for port arrangement with plenty of directional versatility. Specification  Order Code ,,https://official.en.koganei.co.jp/downloader/catalog/ORCA_ALL/1,Rodless cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/rodless-cylinder/koganei-orca-rodless-cylinder-slit-type/
Koganei ORV Slit type Rodless cylinder,"Koganei ORV Slit type ORV Rodless cylinder Φ16 to 50 mm [0.630 to 1.969 in] cylinder bore. Original flat piston mechanism set a new low cost, short, and thin standard for rodless pistons. Combination with the linear guide enables a low center of gravity and smooth operation. Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/ORV_ALL/1,Rodless cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/rodless-cylinder/koganei-orv-rodless-cylinder/
SMC CY3 Magnetically Coupled Rodless Cylinder,・Further improvements have been made on the CY1 series.・The mounting dimensions are the same as those ofthe CY1 series.Upgraded bearing performance and reduced sliding resistance・NPT thread and G thread are available as standard. Specification  Order Code ,,https://content2.smcetech.com/pdf/CY3-C_EU.pdf,Rodless cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/rodless-cylinder/smc-cy3-magnetically-coupled-rodless-cylinder-2/
SRL3 series Rodless cylinder,"Resistant to high load and durable. High-speed rodless cylinder Series runs from φ12 to φ100 with a variety of choices. Flat cylinder]Piston is flat, with a structure allowing it to receive load.Highly load-resistant, with rotation-stop mechanism also provided. [Sealing belt]Seal part is straight, improving sealing performance. [High-speed packing]A piston packing for high speed operation has been adopted. [Common port]A common port (one-side piping) or standard port (both sides piping) can be selected according to the installation location.Downsizing of equipment realized. [Magnet provided as standard]Compatible with switch installation as standard. Specification   Order Code ",,,Rodless cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/rodless-cylinder/srl3-series-rodless-cylinder/
SMC MSQ Rotary Table,・Integrated table and rotary actuator・Equipped with an angle adjustment mechanism・Easy alignment when mounting the load and the body・Built-in shock absorber type and external absorber type are selectable. Order Code ,,https://ca01.smcworld.com/catalog/en/rotary_airchuck/MSQ-E/6-3-p0261-0286-msq_en/data/6-3-p0261-0286-msq_en.pdf,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/smc-msq-rotary-table-2/
CKD R3VS / R3VD Rotary actuator van type,Excellent durability with an incorporated switch is achieved. Vane rotary actuator with a wide variety of torque sizes. Specification  Order Code ,,https://www.ckd.co.jp/kiki/en/file/4785,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/ckd-r3vs-r3vd-rotary-actuator-2/
Koganei RAG Rotary actuators,Bearings suppress vibration and deflection for high accuracy and high rigidity. A shock absorber can also be equipped for a compact system design. Specification  Order Code ,,https://official.en.koganei.co.jp/downloader/catalog/RAG_ALL/1,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/koganei-rag-rotary-actuators-2/
Koganei RAP Rotary actuators Piston type,Compact body with one-side surface piping for maximum space economy. Double rack type that eliminates backlash and leakage. Specification  Order Code ,,https://official.en.koganei.co.jp/downloader/catalog/RAP_ALL/1,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/koganei-rap-rotary-actuators-piston-type/
Festo DRRD Semi-rotary drive,"Twin-piston drive, power transmission via rack and pinion principle Extremely accurate in the end positions Very high load bearing capacity Very good axial run-out at the flanged shaft Greater stability even with smaller sizes Sustainable in production thanks to reduced use of materials Model List DRRD-8-180-FH-PA 2223060 Pieces  DRRD-10-180-FH-PA 2350968 Pieces  DRRD-12-180-FH-PA 2282067 Pieces  DRRD-12- 574398 DRRD-12-180-FH-Y9A 2399248 Pieces  Semi-rotary drive DRRD-16-180-FH-PA 1577238 Pieces  DRRD-16- 574399 Semi-rotary drive DRRD-16-180-FH-Y9A 1644389 Pieces  Semi-rotary drive DRRD-20-180-FH-PA 1395606 Pieces  DRRD-20- 574400",,https://www.festo.com/media/pim/126/D15000100122126.PDF,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/festo-drrd-semi-rotary-drive-2/
Koganei RAT Series Piston Type Rotary Actuator,Integrated bearings allow for more precision within the 3 different torque specification models available. +\-5 ° adjustment with use of stoppers or shock absorbers to meet your design requirements. 2 rotational degree specifications are available. The Selection Guide provides a summary of the RAT Series Piston Type Rotary Actuators 3 different variations available. RAT Series Rotary Actuators offer: Double Acting Precision Rack and Pinion with Bearing Guided Table Four Types of End of Travel Cushioning Available Locating Holes Standard for Quick and Precision Installation Work Ports Located on Multiple Surfaces for Easy Plumbing Utilizes Standard Integrated 4mm Sensor Groove RoHS Compliance,,https://official.en.koganei.co.jp/downloader/catalog/RAT_ALL/1,Rotary Actuator,,https://ntntech.vn/en/pneumatics/air-cylinder/rotary-actuator/koganei-rat-series/
